name;addr;attend;denom
Scottsdale Bible Church;Scottsdale, AZ;7,723[155];Bible Church
Seacoast Church;Mount Pleasant, SC;9,200;Interdenominational
Second Baptist Church Houston;Houston, TX;23,700[156];Southern Baptist Convention
Second Ebenezer Church;Detroit, MI;5,000;Baptist
Set Free Christian Fellowship;Buena Park, CA;6,000;Non-denominational
Sevier Heights Baptist Church[28];Knoxville, TN;4,500;Southern Baptist Convention
Shadow Mountain Community Church;El Cajon, CA;7,500;Southern Baptist Convention
Shepherd of the Hills Church;Porter Ranch, CA;8,700;Christian churches and churches of Christ
The Shepherd's Church;Cary, NC;4,000;
Shiloh Church[157];Oakland, CA;4,500;Christian
Shoreline Christian Center;Austin, TX;8,000;Non-denominational
Shoreline City Church;Dallas, TX;5,000;Non-denominational
Sixth Avenue Baptist Church;Birmingham, AL;3,000;Baptist
Skybreak Church;Bryan, College Station, TX;2,500;Non-denominational
Skyline Church[158];La Mesa, CA;2,500;Wesleyan Church
Southeast Christian Church;Middletown, KY;25,940[160];Christian churches and churches of Christ
Southlake Foursquare Church;West Linn, OR;3,500;Foursquare Church
Southland Christian Church;Nicholasville, KY;12,600;Christian churches and churches of Christ
Spanish River Church[161];Boca Raton, FL;2,000;Presbyterian Church in America
St. Andrews Presbyterian Church;Newport Beach, CA;2,000;ECO: A Covenant Order of Evangelical Presbyterians
Stonebriar Community Church;Frisco, TX;5,200;Non-denominational evangelical
Substance Church[162];N/A, MN;12,000;Non-Denominational (ARC)
The Ransom Church;Sioux Falls, SD;2,000;Wesleyan Church
The Summit Church;Durham, NC;6,600;Southern Baptist Convention
Temple Baptist Church[28];Powell, TN;6,000[29];Independent Baptist
Temple of Praise;Washington, DC;2,500;Non-denominational
Thomas Road Baptist Church;Lynchburg, VA;8,400;Southern Baptist Convention
Timberlake Church;Redmond, WA;3,000;Free Methodist Church
Timberline Church;Fort Collins, CO;6,000;Assemblies of God
Times Square Church;New York, NY;8,000;
Transformation Church;Tulsa, OK;4,100;Non-denominational
Trinity United Church of Christ;Chicago, IL;8,500;United Church of Christ
Triumph Church[163];Detroit, MI;11,600;Missionary Baptist
Truro Church;Fairfax, VA;4,000;Anglican Church in North America
Trinity Chapel Church of God;Powder Springs, GA;6,500;
Trinity Church Cedar Hill;N/A, TX;5,000;Non-denominational
Twin Rivers Worship Center;N/A, MO;2,600;Church of God
12Stone Church;Lawrenceville, GA;17,200;Wesleyan Church
University Park Baptist Church;Charlotte, NC;6,000;BGC
Valley Baptist Church;Bakersfield, CA;4,300;Southern Baptist Convention
Valley Bible Fellowship;Bakersfield, CA;10,300;
Valley Family Church[164];Kalamazoo, MI;4,000;Non-denominational
Valley View Church;Louisville, KY;5,000;Southern Baptist Convention
Venture Christian Church[165];Los Gatos, CA;6,000;Non-denominational
Victory Church[166];Lakeland, FL;2,000;Assemblies of God
Victory Church;Oklahoma City, OK;7,800;Non-denominational
Victory Christian Center;Tulsa, OK;9,300;Non-denominational
Victory Church[167];Norcross, GA;10,200;Non-denominational[168]
The Village Church;Highland Village, TX;10,200;Southern Baptist Convention
Village Seven Presbyterian Church[169];Colorado Springs, CO;2,100;Presbyterian Church in America
Vineyard Cincinnati;Cincinnati, OH;3,000;Association of Vineyard Churches
Vineyard Columbus;Westerville, OH;7,900;Association of Vineyard Churches
Voices of Faith Ministries;Stone Mountain, GA;6,900;Southern Baptist Convention
VOUS Church;Miami, FL;3,500;Non-denominational
Vineyard Church North Phoenix;Glendale, AZ;4,500;Association of Vineyard Churches
Wallace Memorial Baptist Church[28];Knoxville, TN;2,100[29];Southern Baptist Convention
Watermark Community Church;Dallas, TX;11,000;Non-denominational
The Well Community Church[171];Fresno, CA;4,000;Non-denominational
Watermark Wesleyan[172];Hamburg, NY;2,250;Wesleyan Church
West Angeles Cathedral;Los Angeles, CA;24,000[173];Church of God in Christ
WestGate Church[174];San Jose, CA;2,100;
West Side Christian Church[175];Springfield, IL;3,500;Non-denominational
Wheaton Bible Church;West Chicago, IL;3,000;Non-denominational
White's Chapel United Methodist Church;N/A, TX;5,000;United Methodist Church
Whittier Area Community Church;Whittier, CA;3,000;Non-denominational
Willow Creek Community Church;South Barrington, IL;18,000[176];Non-denominational
Windsor Village United Methodist Church;Houston, TX;2,600[177];United Methodist Church
Wooddale Church[178];Eden Prairie, MN;5,000;Converge (Baptist denomination)
Woodlands Church;The Woodlands, TX;18,400;Southern Baptist Convention
The Woodlands Methodist Church[179];The Woodlands, TX;2,900[42];United Methodist Church
Woodside Bible Church[180];Troy, MI;10,500;Baptist heritage
Word of Life Church;St. Joseph, MO;4,000;Nondenominational Christianity
Word of Faith Family Worship Cathedral;Austell, GA;8,300;Non-denominational
World Changers Church Int.;College Park, GA;14,000;Pentecostal, Word of Faith
World Overcomers Christian Church;Durham, NC;15,000;Non-denominational
World Harvest Church;Columbus, OH;13,000;Pentecostal
World Outreach Church;Murfreesboro, TN;15,000[181];Non-denominational
Xenos Christian Fellowship;Columbus, OH;6,000;Non-denominational
Young Nak Presbyterian Church[182];Los Angeles, CA;6,000;KPCA
Yuong Sang Presbyterian Church;Horsham, PA;5,000;KAPC
