name;addr;attend;denom
Greater Piney Grove Baptist Church;Atlanta, GA;4000;BAPT
Peace Baptist Church;Decatur, GA;1800;BAPT
Savannah Christian Church;Savannah, GA;7331;CHRISTIAN
Roswell United Methodist Church;Roswell, GA;2100;UMC
First Baptist Church;Atlanta, GA;4931;SBC
Oakwood Baptist Church;Chickamauga, GA;2415;SBC
Church of the Apostles;Atlanta, GA;2500;ANGLICAN
Turner Chapel Ame Church;Marietta, GA;4400;AME
Greenforest Community Baptist Church;Decatur, GA;2300;SBC
Athens Church;Athens, GA;2000;UNK
Antioch Baptist Church North;Atlanta, GA;4000;NBC
Wildwood Baptist Church;Acworth, GA;2500;BGC
Mountain Lake Church;Cumming, GA;2500;NONDENOM
North Metro Church;Kennesaw, GA;3500;NONDENOM
Hebron Baptist Church;Dacula, GA;4266;SBC
Maranatha Adventist Church;Atlanta, GA;2100;SDA
Burnt Hickory Baptist Church;Powder Springs, GA;2065;SBC
New Hope Baptist Church;Fayetteville, GA;2200;SBC
Greater Travelers Rest Baptist Church;Decatur, GA;3000;BAPT
Destiny Metropolitan Worship Church;Atlanta, GA;3600;NONDENOM
First Baptist Church Woodstock;Woodstock, GA;6115;SBC
Cathedral At Chapel Hill;Decatur, GA;2000;NONDENOM
First Baptist Church;Decatur, GA;2700;SBC
The Rock Ministries Inc.;Flowery Branch, GA;2000;NONDENOM
Salem Missionary Baptist Church;Lilburn, GA;1800;BAPT
Community Bible Church;Stockbridge, GA;3200;NONDENOM
Southside Baptist Church;Warner Robins, GA;2100;SBC
Elizabeth Baptist Church;Atlanta, GA;6733;SBC
Oasis Family Life Church;Dallas, GA;2500;UNK
Beulah Missionary Baptist Church;Decatur, GA;5000;MISSBAPT
Ingleside Baptist Church;Macon, GA;2000;BAPT
Mount Paran Church of God;Atlanta, GA;4000;COG
Harvest Church;Byron, GA;2109;UMC
First Assembly of God;Griffin, GA;7780;AG
New Birth South Metropolitan Church;Jonesboro, GA;10000;UNK
Beulahland Bible Church;Macon, GA;3500;NONDENOM
Fellowship Bible Church;Roswell, GA;3500;UNK
World Changers Church International;College Park, GA;15000;NONDENOM
Victory for the World;Stone Mountain, GA;2000;NONDENOM
12Stone Church;Lawrenceville, GA;13563;WES
Mount Paran Church of God North;Marietta, GA;2000;COG
Total Grace Christian Center;Decatur, GA;3000;NONDENOM
Saint Philip AME Church;Atlanta, GA;6000;AME
Divine Faith Ministries International;Duluth, GA;3300;NONDENOM
Saint Paul Christian Methodist Episcopal;Savannah, GA;2500;CME
First Redeemer Church;Cumming, GA;3200;SBC
Trinity Chapel Church of God;Powder Springs, GA;2100;COG
Cascade Hills Church;Columbus, GA;4420;SBC
New Mercies Christian Church;Lilburn, GA;7000;CHRISTIAN
First Baptist Church Jonesboro;Jonesboro, GA;2000;SBC
North Point Community Church;Alpharetta, GA;30629;NONDENOM
West Ridge Church;Dallas, GA;4800;SBC
Avalon Church;McDonough, GA;1300;SBC
Blackshear Place Baptist Church;Flowery Branch, GA;2875;SBC
Word of Faith Family Worship Cathedral;Austell, GA;8300;NONDENOM
Ray of Hope Christian Church;Decatur, GA;2000;CHRISTIAN
Free Chapel Worship Center;Gainesville, GA;13568;NONDENOM
NorthStar Church;Kennesaw, GA;2000;SBC
Springfield Baptist Church;Conyers, GA;2000;BAPT
North Metro First Baptist Church;Lawrenceville, GA;2285;BAPT
Mount Bethel United Methodist Church;Marietta, GA;2950;UMC
The Church at Chapel Hill;Douglasville, GA;2000;AG
Victory World Church;Norcross, GA;8000;NONDENOM
Korean Community Presbyterian Church;Duluth, GA;3000;KPCA
First Baptist Church Snellville;Snellville, GA;4000;SBC
Passion City Church;Atlanta, GA;2000;NONDENOM
Mount Pisgah United Methodist Church;Johns Creek, GA;2211;UMC
Roswell Street Baptist Church;Marietta, GA;1850;SBC
Mount Ephraim Baptist Church;Atlanta, GA;5500;BAPT
West Acres Baptist;Evans, GA;2000;BAPT
Hopewell Missionary Baptist;Norcross, GA;5000;BAPT
Gospel Tabernacle East;Stone Mountain, GA;2000;NONDENOM
Berean Christian Church;Stone Mountain, GA;7000;NONDENOM
New Birth Missionary Baptist Church;Lithonia, GA;8000;MISSBAPT-NBC
Grace Fellowship Church;Snellville, GA;4000;NONDENOM
Eagle's Landing First Baptist Church;Mc Donough, GA;2170;SBC
Cascade United Methodist Church;Atlanta, GA;1800;UMC
Vineville Baptist Church;Macon, GA;2000;UNK
Faith Christian Center;Smyrna, GA;2700;NONDENOM
Warren Baptist Church;Augusta, GA;1800;BAPT
Voices of Faith Ministries;Stone Mountain, GA;6900;SBC
Atlanta Berean Church;Atlanta, GA;2500;SDA
Rock Bridge Community Church;Dalton, GA;2900;SBC
Hope Chapel Kapolei;Kapolei, HI;2500;4SQ
New Hope Leeward;Waipahu, HI;4358;4SQ
First Assembly of God;Honolulu, HI;2400;AG
King's Cathedral Maui;Kahului, HI;5409;AG
Word of Life Christian Center;Honolulu, HI;5000;UNK
Hope Chapel;Kihei, HI;2000;4SQ
Calvary Chapel of Honolulu;Aiea, HI;1800;CAL
New Hope Christian Fellowship;Honolulu, HI;11000;4SQ
Point of Grace Church;Waukee, IA;2200;NONDENOM
Prairie Lakes Church;Cedar Falls, IA;2200;BAPT
First Assembly Cedar Rapids;Cedar Rapids, IA;2100;AG
Cornerstone Church;Ames, IA;2200;SBC
Harvest Bible Chapel;Davenport, IA;2100;CHRISTIAN
Third Reformed Church;Pella, IA;2000;RCA
Orchard Hill Church;Cedar Falls, IA;2000;RCA
Valley Church;West Des Moines, IA;2000;EF
Faith Evangelical Free Church;Spirit Lake, IA;2500;EF
Lutheran Church of Hope;West Des Moines, IA;10578;ELCA
Eagle Christian Church;Eagle, ID;2364;CHRISTIAN
Real Life Ministries;Post Falls, ID;7001;CHRISTIAN
Capital Christian Center;Meridian, ID;3000;NONDENOM
Calvary Chapel Boise;Boise, ID;6000;CAL
Vineyard Boise;Boise, ID;2200;VINE
Lake City Community Church;Coeur D Alene, ID;1925;AG
New Faith Baptist Church International;Matteson, IL;4900;SBC
Northwoods Community Church;Peoria, IL;3800;MEN
Calvary Temple;Springfield, IL;2500;AG
Christ Church of Oak Brook;Oak Brook, IL;2600;NONDENOM
New Life Community Church;Chicago, IL;3900;UNK
Lighthouse Church of All Nations;Alsip, IL;2000;UNK
Eastview Christian Church;Normal, IL;4730;CHRISTIAN
Willow Creek Community Church;South Barrington, IL;25743;NONDENOM
Life Changers International Church;Hoffman Estates, IL;3000;NONDENOM
The Chapel;Libertyville, IL;6010;NONDENOM
Rockford First;Rockford, IL;3184;AG
Village Church of Gurnee;Gurnee, IL;2000;UNK
Central Christian Church;Mt Vernon, IL;1833;CHRISTIAN
Victory Cathedral Worship Center;Bolingbrook, IL;4000;UNK
Crossroads Community Church;Freeport, IL;2953;AG
Heartland Community Church;Rockford, IL;7274;UNK
Fellowship Missionary Baptist Church;Chicago, IL;3100;BAPT
Highland Avenue Church of the Brethren;Elgin, IL;2500;BRETHREN
Christ Church;Fairview Heights, IL;2100;UMC
Salem Baptist Church of Chicago;Chicago, IL;9800;UNK
Apostolic Faith Church;Chicago, IL;2000;PAW
The Moody Church;Chicago, IL;2400;NONDENOM
Abundant Faith Christian Center;Springfield, IL;2900;UNK
Rock Church;Rockford, IL;5000;UNK
Christ Community Church;Saint Charles, IL;4500;UNK
Logos Baptist Assembly;Chicago, IL;2200;BAPT
Evangelical Free Church of Bloomington;Bloomington, IL;2500;EF
New Life Covenant Oakwood Church;Chicago, IL;3000;UNK
Family Harvest Church;Tinley Park, IL;2500;NONDENOM
College Church;Wheaton, IL;2000;NONDENOM
Park Community Church;Chicago, IL;2500;NONDENOM
The Orchard Evangelical Free Church;Arlington Heights, IL;2500;EF
Rock of Ages Baptist Church;Maywood, IL;3000;BAPT
Gracepointe Church;Naperville, IL;2000;NONDENOM
Apostolic Church of God;Chicago, IL;10500;PAW
Community Christian Church;Naperville, IL;5325;CHRISTIAN
Harvest Bible Chapel;Naperville, IL;2500;NONDENOM
All Nations Community Church;Homewood, IL;2000;NONDENOM
Sweet Holy Spirit Full Gospel Baptist Church;Chicago, IL;4000;BAPT
Iglesia De Dios Pentecostal;Chicago, IL;6000;PENT
New Life Covenant Ministries;Chicago, IL;12994;AG
Calvary Church;Naperville, IL;7070;AG
West Side Christian Church;Springfield, IL;2175;CHRISTIAN
The Crossing;Quincy, IL;5484;CHRISTIAN
Wheaton Bible Church;West Chicago, IL;2500;NONDENOM
The Vineyard Church;Urbana, IL;2800;VINE
Living Word Christian Center;Forest Park, IL;4500;NONDENOM
The Compass Church;Naperville, IL;2250;EF
Harvest Bible Chapel;Rolling Meadows, IL;13916;CHRISTIAN
Parkview Christian Church;Orland Park, IL;7093;CHRISTIAN
Heritage Church;Rock Island, IL;2600;WES
Trinity United Church of Christ;Chicago, IL;7500;UCC
Chicago Church of Christ;Elmhurst, IL;2500;ICC
Valley Kingdom Ministries International;South Holland, IL;3400;NONDENOM
Christ Universal Temple;Chicago, IL;3200;NONDENOM
Broadview Missionary Baptist Church;Broadview, IL;2500;BAPT
Crossroads Community Church;Kokomo, IN;2700;UNK
Memorial Baptist Church;Evansville, IN;2000;BAPT
East 91st Street Christian Church;Indianapolis, IN;3832;CHRISTIAN
Madison Park Church of God;Anderson, IN;2000;COG
Saint Luke's United Methodist Church;Indianapolis, IN;3108;UMC
Nappanee Missionary Church;Nappanee, IN;3000;UNK
Bethel Temple Community Church;Evansville, IN;2000;NONDENOM
Emmanuel Church of Greenwood;Greenwood, IN;2500;BAPT
Northview Church;Carmel, IN;6595;NONDENOM
Traders Point Christian Church;Whitestown, IN;4197;CHRISTIAN
The Chapel;Fort Wayne, IN;2700;NONDENOM
First Assembly;Fort Wayne, IN;1800;AG
Calvary Tabernacle;Indianapolis, IN;3000;UPCI
Northside Christian Church;New Albany, IN;5006;CHRISTIAN
Mount Pleasant Christian Church;Greenwood, IN;3232;CHRISTIAN
Warsaw Community Church;Warsaw, IN;3500;BRETHREN
Faith Church;Dyer, IN;3500;RCA
First Baptist Church;Hammond, IN;13426;BAPT
Family Christian Center;Munster, IN;15540;NONDENOM
Granger Community Church;Granger, IN;5169;UMC
White River Christian Church;Noblesville, IN;2290;CHRISTIAN
Blackhawk Baptist Church;Fort Wayne, IN;2000;BGC
New Life Worship Center;Indianapolis, IN;2250;NONDENOM
Kingsway Christian Church;Avon, IN;2549;CHRISTIAN
Pathway Community Church;Fort Wayne, IN;3000;NONDENOM
Plainfield Christian Church;Plainfield, IN;1956;CHRISTIAN
Liberty Bible Church;Chesterton, IN;1800;EF
Mount Olive Missionary Baptist Church;Indianapolis, IN;2500;MISSBAPT
Connection Pointe Christian Church;Brownsburg, IN;3546;CHRISTIAN
Fellowship Missionary Church;Fort Wayne, IN;2300;UNK
Christian Fellowship Church;Evansville, IN;3200;NONDENOM
Bethel Church;Crown Point, IN;2500;GBA
New Beginnings Fellowship Church;Indianapolis, IN;3000;NONDENOM
Sherwood Oaks Christian Church;Bloomington, IN;2588;CHRISTIAN
College Park Church;Indianapolis, IN;3800;NONDENOM
The Bridge Community Church;Decatur, IN;2000;NONDENOM
Concordia Lutheran Church;Fort Wayne, IN;1800;LUTH
Lakeview Christian Center;Indianapolis, IN;2000;AG
Eastern Star Church;Indianapolis, IN;10000;NBC
Grace Community Church;Noblesville, IN;5000;EF
Indian Creek Christian Church;Indianapolis, IN;4532;CHRISTIAN
Calvary Temple;Indianapolis, IN;2100;UPC
Christ Gospel Church;Jeffersonville, IN;2500;NONDENOM
Crossroads Christian Church;Evansville, IN;3550;CHRISTIAN
Heartland Church;Indianapolis, IN;2000;NONDENOM
Church of the Resurrection;Leawood, KS;10137;UMC
College Church of the Nazarene;Olathe, KS;2174;NAZ
Heartland Community Church;Olathe, KS;2000;EPC
Westside Family Church;Lenexa, KS;5100;SBC
Pathway Church;Wichita, KS;3012;CHRISTIAN
Central Christian Church;Wichita, KS;3245;CHRISTIAN
Lenexa Christian Center;Shawnee Mission, KS;3000;AG
NewSpring Church;Wichita, KS;2000;UNK
Central Community Church;Wichita, KS;2100;COGA
Olathe Bible Church;Olathe, KS;2200;UNK
Saint Stephen Church;Louisville, KY;10714;NONDENOM
Crossroads Christian Church;Lexington, KY;2570;NONDENOM
Highview Baptist Church;Louisville, KY;3254;SBC
Owensboro Christian Church;Owensboro, KY;2052;CHRISTIAN
Immanuel Baptist Church;Lexington, KY;2000;SBC
Quest Community Church;Lexington, KY;3400;UNK
Heartland Worship Center;Paducah, KY;1800;UNK
Living Hope Baptist Church;Bowling Green, KY;2100;SBC
Northeast Christian Church;Louisville, KY;2652;CHRISTIAN
Southland Christian Church;Nicholasville, KY;12524;CHRISTIAN
Sojourn Community Church;Louisville, KY;3476;UNK
Evangel World Prayer Center;Louisville, KY;4800;AG
First Church of Christ;Burlington, KY;2506;CHRISTIAN
Valley View Church;Louisville, KY;2497;SBC
Seven Hills Church;Florence, KY;3000;UNK
Canaan Christian Church;Louisville, KY;2500;BAPT
Southeast Christian Church;Louisville, KY;21764;CHRISTIAN
Bates Memorial Baptist Church;Louisville, KY;3000;SBC
Hillvue Heights Church;Bowling Green, KY;4825;SBC
Saint Matthews Baptist Church;Louisville, KY;8300;SBC
Victory Fellowship;Metairie, LA;2000;AG
The Simple Church;Bossier City, LA;5000;NONDENOM
Saint Timothy Northshore United Methodist;Mandeville, LA;1973;UMC
Word of Life Center;Shreveport, LA;2500;NONDENOM
First Baptist Lafayette;Lafayette, LA;4000;SBC
Celebration Church;Metairie, LA;3260;SBC
First Baptist West Monroe;West Monroe, LA;2402;SBC
Our Saviors Church;Lafayette, LA;4600;NONDENOM
Glad Tidings Assembly of God;Lake Charles, LA;2689;AG
First Baptist Church;Bossier City, LA;2100;SBC
Crossroads Church;Lafayette, LA;2400;AG
Life Center Ministries;New Orleans, LA;6500;UNK
Church of the King;Mandeville, LA;5000;UNK
Healing Place Church;Baton Rouge, LA;7200;NONDENOM
The Pentecostals;West Monroe, LA;2050;UPCI
Broadmoor Baptist Church;Shreveport, LA;2300;SBC
Living Faith Christian Center;Baton Rouge, LA;4750;NONDENOM
Greater Saint Stephen Full Gospel Baptist;New Orleans, LA;10000;BAPT
East Bayou Baptist Church;Lafayette, LA;2250;SBC
The Vineyard Church;Kenner, LA;2000;VINE
First Baptist Church;Covington, LA;1800;SBC
Family Worship Center;Baton Rouge, LA;4000;UNK
Bethany World Prayer Center;Baker, LA;8000;NONDENOM
Franklin Avenue Baptist Church;New Orleans, LA;4000;SBC
Pentecostals of Alexandria;Alexandria, LA;2800;UPCI
Park Street Church;Boston, MA;2000;UNK
Calvary Chapel of Boston;Rockland, MA;3700;CAL
Church of the Larger Fellowship;Boston, MA;2500;UUA
Liberty Churches;Shrewsbury, MA;2100;AG
Grace Chapel;Lexington, MA;3000;NONDENOM
Morning Star Baptist Church;Mattapan, MA;2100;BAPT
Jubilee Christian Church;Mattapan, MA;7000;COGA
Boston Church of Christ;Waltham, MA;2200;ICOC
Springs Church;Winnipeg, MB;7500;UNK
Church of the Rock;Winnipeg, MB;2500;NONDENOM
Calvary Temple;Winnipeg, MB;2000;NONDENOM
The Meeting Place;Winnipeg, MB;5000;MEN
Southland Community Church;Steinbach, MB;3300;UNK
Fourth Presbyterian Church;Bethesda, MD;1800;EPC
Soul Factory;Forestville, MD;5000;NONDENOM
Grace Fellowship Church;Timonium, MD;3000;NONDENOM
Bethel African Methodist Episcopal Church;Baltimore, MD;2000;AME
Sligo Seventh Day Adventist;Tacoma Park, MD;2000;SDA
Ark of Safety Christian Church;Upper Marlboro, MD;2000;NONDENOM
Mount Pleasant Church And Ministries;Baltimore, MD;8000;NONDENOM
Bethel World Outreach Church;Silver Spring, MD;2000;UNK
Southern Baptist Church;Baltimore, MD;2500;SBC
Evangel Cathedral;Upper Marlboro, MD;4000;COG
Covenant Life;Gathersburg, MD;3300;NONDENOM
LifePoint Church;Reisterstown, MD;2000;UNK
Zion Church;Largo, MD;3000;NONDENOM
From the Heart Church Ministries;Temple Hills, MD;7000;NONDENOM
Empowerment Temple;Baltimore, MD;7000;UNK
Mount Ennon Baptist Church;Clinton, MD;5000;BAPT
Cedar Ridge Community Church;Spencerville, MD;2000;UNK
Woodstream Church;Mitchellville, MD;2000;BAPT
New Shiloh Baptist Church;Baltimore, MD;2000;UNK
Church of the Redeemer;Gaithersburg, MD;9407;NONDENOM
Bridgeway Community Church;Columbia, MD;3500;NONDENOM
Church of the Redeemed of the Lord;Baltimore, MD;2500;UNK
The Sanctuary;Capitol Heights, MD;3400;NONDENOM
Ebenezer African Methodist Episcopal;Fort Washington, MD;7000;AME
Immanuel's Church;Silver Spring, MD;4500;NONDENOM
Global Mission Church of Greater Washington;Silver Spring, MD;3000;SBC
National Church of God;Fort Washington, MD;2500;COG
First Baptist Church of Guilford;Colombia, MD;2000;SBC
New Psalmist Baptist Church;Baltimore, MD;6000;BAPT
Greater Grace Church;Baltimore, MD;2000;NONDENOM
Grace Community Church;Fulton, MD;2700;NONDENOM
Mountain Christian Church;Joppa, MD;4270;CHRISTIAN
Spirit of Faith Christian Center;Temple Hills, MD;5000;UNK
Church of the Open Door;Westminster, MD;2700;BAPT
First Baptist Church of Glenarden;Landover, MD;12000;BGC
Celebration Church;Columbia, MD;2500;COG
First Mount Olive Freewill Baptist Church;Randallstown, MD;2500;BAPT
NorthRidge Church;Plymouth, MI;9655;NONDENOM
Mount Zion;Clarkston, MI;6000;NONDENOM
Fair Haven Ministries;Hudsonville, MI;2000;RCA
Word of Faith International Christian Center;Southfield, MI;11000;UNK
Riverview Church;Holt, MI;2400;UNK
Pioneer Memorial Church;Berrien Springs, MI;2500;SDA
New Prospect Missionary Baptist Church;Detroit, MI;2000;NBC
Grand Rapids First Assembly of God;Grand Rapids, MI;2400;AG
Blythefield Hills Baptist Church;Rockford, MI;2020;BAPT
Cornerstone United Methodist Church;Caledonia, MI;2000;UNK
Grace Christian Church;Sterling Heights, MI;2000;CHRISTIAN
Kensington Community Church;Troy, MI;11000;UNK
Oak Pointe Church;Novi, MI;3000;NONDENOM
Trinity Church;Lansing, MI;3500;UNK
Christ Memorial Reformed Church;Holland, MI;2800;RCA
Perfecting Church;Detroit, MI;4500;NONDENOM
New Saint Paul Tabernacle Church;Detroit, MI;2300;COGIC
Apostolic Church of Auburn Hills;Auburn Hills, MI;3000;UPCI
Calvary Bible Church;Kalamazoo, MI;2000;NONDENOM
Second Ebenezer Church;Detroit, MI;2000;UNK
Central Wesleyan Church;Holland, MI;3000;WES
Saint Lorenz Lutheran Church;Frankenmuth, MI;1800;LUTH
Greater Grace Temple;Detroit, MI;8000;UNK
Mars Hill Bible Church;Grandville, MI;12000;NONDENOM
Detroit World Outreach Center;Redford, MI;2000;NONDENOM
Faith Baptist Church of Waterford;Waterford, MI;5600;BAPT
Resurrection Life Church;Grandville, MI;7000;NONDENOM
Kentwood Community Church;Kentwood, MI;2581;WES
Hartford Memorial Baptist Church;Detroit, MI;5000;BAPT
First Wesleyan Church;Battle Creek, MI;2600;WES
Ada Bible Church;Ada, MI;7636;NONDENOM
Valley Family Church;Kalamazoo, MI;3000;NONDENOM
Triumph Church;Detroit, MI;11600;NONDENOM
Cornerstone Evangelical Presbyterian;Brighton, MI;1800;EPC
Brightmoor Christian Church;Novi, MI;2000;AG
Faith Lutheran Church;Troy, MI;2000;LUTH
Ward Evangelical Presbyterian Church;Northville, MI;2300;EPC
Woodside Bible Church;Troy, MI;7174;UNK
Calvary Church;Grand Rapids, MI;4500;NONDENOM
Mount Hope Church;Lansing, MI;4300;AG
Straight Gate International Church;Detroit, MI;2000;NONDENOM
Calvary Lutheran Church;Golden Valley, MN;2300;LUTH
Prince of Peace Lutheran Church;Burnsville, MN;3000;ELCA
Calvary Baptist Church;Roseville, MN;1800;BGC
Saint Andrew Lutheran Church;Eden Prairie, MN;2300;LUTH
North Heights Lutheran Church;Arden Hills, MN;2200;LUTH
Emmanuel Christian Center;Minneapolis, MN;3500;AG
Shepherd of the Lake Lutheran Church;Prior Lake, MN;2000;ELCA
Berean Baptist Church;Burnsville, MN;2100;BGC
Evergreen Community Church;Bloomington, MN;2300;UNK
Cedar Valley Church;Bloomington, MN;2000;AG
Westwood Community Church;Excelsior, MN;3800;BGC
Church of the Open Door;Maple Grove, MN;3500;CMA
Woodbury Lutheran Church;Woodbury, MN;2100;LUTH
Saint Philip the Deacon Lutheran Church;Plymouth, MN;2000;ELCA
River Valley Church;Apple Valley, MN;5000;AG
Wooddale Church;Eden Prairie, MN;5500;BGC
Shepherd of the Valley Lutheran Church;Apple Valley, MN;2200;LUTH
Crossroads Church;Woodbury, MN;2200;NONDENOM
New Hope Church Evangelical Free Church;New Hope, MN;3757;EF
Substance Church;Roseville, MN;3000;NONDENOM
Living Word Christian Center;Brooklyn Park, MN;9000;UNK
Mount Olivet Lutheran Church;Minneapolis, MN;5895;ELCA
Eagle Brook Church;Centerville, MN;17091;BGC
Bethlehem Baptist Church;Minneapolis, MN;4600;BGC
Grace Church;Eden Prairie, MN;5500;NONDENOM
North Heights Lutheran Church;Roseville, MN;2300;ELCA
Saint Andrew's Lutheran Church;Mahtomedi, MN;2100;ELCA
Woodland Hills Church;St. Paul, MN;5000;BGC
Hosanna!;Lakeville, MN;6600;LUTH
Twin Rivers Worship Center;Saint Louis, MO;2500;UNK
Morning Star Church;O'Fallon, MO;1945;UMC
Vineyard Christian Fellowship;Kansas City, MO;2000;VINE
Woodcrest Chapel;Columbia, MO;2200;UNK
Forerunner Christian Fellowship;Kansas City, MO;2000;NONDENOM
Faith Church of St. Louis;Fenton, MO;4000;NONDENOM
Central Assembly of God Church;Springfield, MO;2468;AG
Second Baptist Church;Springfield, MO;2543;SBC
Friendly Temple Missionary Baptist Church;Saint Louis, MO;3500;BAPT
Saint John Lutheran Church;Ellisville, MO;2300;LUTH
Life Center;Saint Louis, MO;2500;NONDENOM
College Heights Christian Church;Joplin, MO;1971;CHRISTIAN
Colonial Presbyterian Church;Kansas City, MO;2200;PCA
Grace Church;Maryland Heights, MO;3800;NONDENOM
Saint Louis Family Church;Chesterfield, MO;6000;NONDENOM
Element Church;Wentzville, MO;2500;NONDENOM
The Crossing;Columbia, MO;3400;NONDENOM
Church on the Rock;Saint Peters, MO;4900;NONDENOM
Christ Church of Oronogo;Oronogo, MO;2506;CHRISTIAN
Lees Summit Community Church;Lee's Summit, MO;2001;UNK
Calvary Church;Saint Peters, MO;3500;EF
Word of Life Church;Saint Joseph, MO;4000;NONDENOM
Harvester Christian Church;Saint Charles, MO;3286;CHRISTIAN
The Crossing;Chesterfield, MO;6000;NONDENOM
First Baptist Raytown;Raytown, MO;2000;SBC
LifeChurch;St Louis, MO;2000;NONDENOM
Pleasant Valley Baptist Church;Liberty, MO;2905;SBC
The Journey Fellowship;Saint Louis, MO;3300;NONDENOM
La Croix United Methodist Church;Cape Girardeau, MO;1943;UMC
Ridgecrest Baptist Church;Springfield, MO;1900;SBC
First Baptist Church;Arnold, MO;2385;SBC
North Point Church;Springfield, MO;4500;AG
Sheffield Family Life Center;Kansas City, MO;5135;AG
Cape First;Cape Girardeau, MO;2800;AG
James River Assembly;Ozark, MO;8246;AG
First Baptist Church;Arnold, MO;2385;SBC
Abundant Life Baptist Church;Lee's Summit, MO;2000;NONDENOM
Colonial Hills Baptist Church;Southaven, MS;2000;SBC
Pinelake Church;Brandon, MS;9091;SBC
Crossgates Baptist Church;Brandon, MS;2286;SBC
Broadmoor Baptist Church;Madison, MS;2000;SBC
The Orchard;Tupelo, MS;2300;UMC
Christ United Methodist Church;Jackson, MS;1800;UMC
Temple Baptist Church;Hattiesburg, MS;3000;SBC
Harrisburg Baptist Church;Tupelo, MS;2000;BAPT
Brown Missionary Baptist Church;Southaven, MS;3257;BAPT
Woodlawn Church;Columbia, MS;2500;UPC
First Baptist Church;Brandon, MS;1900;SBC
First Baptist Church;Jackson, MS;2500;SBC
Harvest Church;Billings, MT;2500;EVAN
Faith Chapel;Billings, MT;4500;4SQ
Kalispell Christian Center;Kalispell, MT;2500;AG
Mud Creek Baptist Church;Hendersonville, NC;2590;SBC
Mecklenburg Community Church;Charlotte, NC;2000;UNK
First Assembly of God;Winston-Salem, NC;3300;AG
Calvary Chapel;Apex, NC;2000;CAL
Port City Community Church;Wilmington, NC;5200;UNK
Lake Forest Church;Huntersville, NC;2000;EPC
Saint Mark's Church;Burlington, NC;2000;UNK
Crosspointe Church of Cary;Cary, NC;2046;CHRISTIAN
Gospel Light Baptist Church;Walkertown, NC;2000;BAPT
Carmel Baptist Church;Matthews, NC;2647;SBC
Hickory Grove Baptist Church;Charlotte, NC;4539;SBC
The Summit Church;Kernersville, NC;2700;BGC
First Baptist of Jacksonville;Jacksonville, NC;2200;BAPT
Manna Church;Fayetteville, NC;7300;UNK
C3 Church;Clayton, NC;3852;NONDENOM
Colonial Baptist Church;Cary, NC;3800;BAPT
Hope Community Church;Raleigh, NC;7854;SBC
Providence Baptist Church;Raleigh, NC;2500;SBC
Calvary Baptist Church;Winston Salem, NC;5000;SBC
Mid Way Baptist Church;Raleigh, NC;2600;NONDENOM
Crossroads Fellowship Church;Raleigh, NC;3500;NONDENOM
Grace Covenant Church;Cornelius, NC;2600;4SQ
Westover Church;Greensboro, NC;4000;NONDENOM
Bethlehem Church;Gastonia, NC;2700;SBC
The Cove Church;Mooresville, NC;4200;UNK
Newhope church;Durham, NC;4235;NONDENOM
Destiny Christian Center;Greensboro, NC;2100;NONDENOM
Bay Leaf Baptist Church;Raleigh, NC;1400;SBC
Saint Paul Baptist Church;Charlotte, NC;4500;NBC
The Park Church;Charlotte, NC;6000;UNK
Friendship Missionary Baptist Church;Charlotte, NC;2700;BAPT
Concord First Assembly;Concord, NC;3000;AG
Village Baptist Church;Fayetteville, NC;1800;SBC
Mount Zion Baptist Church;Greensboro, NC;2800;BAPT
The Summit Church;Durham, NC;6639;SBC
World Overcomers Christian Church;Durham, NC;10000;NONDENOM
Church at Charlotte;Charlotte, NC;2000;EF
Northside Baptist Church;Charlotte, NC;2000;BAPT
Elevation Church;Matthews, NC;22200;NONDENOM
Elevation Baptist Church;Raleigh, NC;2000;BAPT
Christian Faith Center;Creedmoor, NC;5000;NONDENOM
St. Peter's Church and World Outreach Center;Winston-Salem, NC;4000;NONDENOM
Christ United Methodist Church;Hickory, NC;2162;UMC
Southbrook Church;Weddington, NC;2000;NONDENOM
Snyder Memorial Baptist Church;Fayetteville, NC;2000;SBC
Victory Christian Center;Charlotte, NC;3500;NONDENOM
Covenant Love Church;Fayetteville, NC;2000;NONDENOM
First Baptist Church;Indian Trail, NC;2537;SBC
Forest Hill Church;Charlotte, NC;3000;EPC
Northwood Temple Church;Fayetteville, NC;2000;IPHC
Christ Covenant Church;Matthews, NC;1800;PCA
Calvary Church;Charlotte, NC;2348;NONDENOM
Covenant United Methodist Church;Winterville, NC;1825;UMC
Central Church of God;Charlotte, NC;6000;COG
New Birth-Charlotte;Cornelius, NC;6500;NONDENOM
Steele Creek Community Church;Charlotte, NC;2500;NONDENOM
Biltmore Baptist Church;Arden, NC;6021;SBC
University Park Baptist Church;Charlotte, NC;10000;BAPT
Evangel Fellowship;Greensboro, NC;2000;COGIC
Bethel Church;Fargo, ND;2500;EF
Hope Lutheran Church;Fargo, ND;2500;ELCA
King of Kings Lutheran Church;Omaha, NE;2400;LUTH
Lincoln Berean Church;Lincoln, NE;5000;NONDENOM
College View Seventh Day Adventist Churc;Lincoln, NE;2200;SDA
Lifegate Church;Omaha, NE;1800;NONDENOM
Westside Church;Omaha, NE;2000;SBC
Christ Community Church;Omaha, NE;4200;CMA
Bellevue Christian Center;Bellevue, NE;2500;CHRISTIAN
Manchester Christian Church;Manchester, NH;2100;CHRISTIAN
